debugSOD04T:debugLI9205,initialized,0,,1487823657904
debugSOD04T:debugLI9205,window_resize,0,"[1024, 722]",1487823657904
debugSOD04T:debugLI9205,focus,16445,off,1487823674349
debugSOD04T:debugLI9205,focus,40177,on,1487823714526
debugSOD04T:debugLI9205,focus,5843,off,1487823720369
debugSOD04T:debugLI9205,focus,10238,on,1487823730607
debugSOD05T:debugLI9205,initialized,0,,1487824081585
debugSOD05T:debugLI9205,window_resize,0,"[1024, 722]",1487824081585
debug2EAGZ2:debugZF9I1L,initialized,0,,1487872134050
debug2EAGZ2:debugZF9I1L,window_resize,1,"[1024, 722]",1487872134051
debug1BW438:debugOPELKP,initialized,0,,1488573773824
debug1BW438:debugOPELKP,window_resize,0,"[1024, 722]",1488573773824
debug1BW438:debugOPELKP,focus,1958,off,1488573775782
debug1BW438:debugOPELKP,focus,3710,on,1488573779492
debug1BW438:debugOPELKP,focus,2371,off,1488573781863
debug1BW438:debugOPELKP,focus,4362,on,1488573786225
debug7XE757:debugAL26KB,initialized,0,,1488581847450
debug7XE757:debugAL26KB,window_resize,1,"[1024, 722]",1488581847451
debug7XE757:debugAL26KB,focus,10349,off,1488581857800
debug7XE757:debugAL26KB,focus,789375,off,1488582647175
debugTN279V:debugPW46BB,initialized,0,,1488583088095
debugTN279V:debugPW46BB,window_resize,0,"[1024, 722]",1488583088095
debugTN279V:debugPW46BB,focus,1987798,off,1488585075893
debugTN279V:debugPW46BB,focus,15953,on,1488585091846
debugTN279V:debugPW46BB,focus,1044,off,1488585092890
debugTN279V:debugPW46BB,focus,72838,on,1488585165728
debugTN279V:debugPW46BB,focus,1715905,off,1488586881633
debugTN279V:debugPW46BB,focus,215835,on,1488587097468
debugTN279V:debugPW46BB,focus,2531,off,1488587099999
debugTN279V:debugPW46BB,focus,100011,on,1488587200010
debugTN279V:debugPW46BB,focus,1204,off,1488587201214
debugR3Q2US:debugNRZ9E9,initialized,0,,1488600179610
debugR3Q2US:debugNRZ9E9,window_resize,0,"[1024, 722]",1488600179610
debugR3Q2US:debugNRZ9E9,focus,6137,off,1488600185747
debugR3Q2US:debugNRZ9E9,focus,17540,on,1488600203287
debugR3Q2US:debugNRZ9E9,focus,810,off,1488600204097
debugR3Q2US:debugNRZ9E9,focus,788,on,1488600204885
debugR3Q2US:debugNRZ9E9,focus,533,off,1488600205418
debugNO3M9C:debugUXGDVS,initialized,0,,1488653471701
debugNO3M9C:debugUXGDVS,window_resize,0,"[1342, 767]",1488653471701
debugNO3M9C:debugUXGDVS,focus,1607836,off,1488655079537
LIUNUXREADTHISONE:debugUXGDVS,initialized,0,,1488656907020
LIUNUXREADTHISONE:debugUXGDVS,window_resize,0,"[1024, 768]",1488656907020
debug8VUQUN:debugPMORY2,initialized,0,,1488656960996
debug8VUQUN:debugPMORY2,window_resize,0,"[1024, 768]",1488656960996
debugQNWMJL:debug28T95H,initialized,0,,1488657088995
debugQNWMJL:debug28T95H,window_resize,0,"[1024, 768]",1488657088995
debugQNWMJL:debug28T95H,focus,12185,off,1488657101180
debugQNWMJL:debug28T95H,focus,292143,off,1488657393323
